Quality	#1 ID	#2 ID	#1 String	#2 String
0	2907515	2907224	"The EU Member States' annual support for these sectors totaled EUR 95 billion for 1995-1997, of which 40% was allocated to the manufacturing sector."	"The aid which Union Member States allocate each year to the sectors under consideration reached a total of EUR 95 billion in the period 1995-1997, including 40% allocated to the manufacturing sector."
0	2791650	2791604	"It should be emphasized, however, that the guidelines currently under discussion concern only the Structural Funds, whose Objectives 1 and 2 give priority to the diversification of rural society."	"It must, however, be stressed that the guidelines under discussion are related only to the Structural Funds, whose Objectives 1 and 2 specifically adopt the diversification of rural society as a priority."
1	2559762	2559517	All this must be attributed both to regional policy and to the more general economic and social policy of the Union.	All this is to be ascribed to both regional policy and the more general economic and social policy of the Union.
0	105493	105432	(The House stands up and observes a minute of silence)	(The House rose and observed a minute' s silence)
1	14663	14617	"But, as the assistants occupy most of the 1998 competition report, I still want to say a few words about it, without prejudice to the report of our colleague Jonckheer."	"But, since the helpers occupy the main part of the 1998 competition report, I still want to say a few words on this subject, without prejudice to the report of our colleague Jonckheer."
0	1692902	1692851	"Mr President, as Mrs Theato said, this is a critical report."	"Mr President, this, as Mrs Theato said, is a critical report."
1	1480561	1480670	The effectiveness of programs implemented with the support of the European Union has too often suffered from too slow decision-making and overly complex management.	The effectiveness of the programs implemented with the support of the European Union has too often had to suffer from too slow decision - making and overly complex management.
0	3089434	3089441	"Competition is a war that has major concerns and is constantly taking the form of layoffs, plant closures, not to mention the considerable wastage of production capacity."	"Competition is a war which has major concerns fighting each other, which constantly takes the form of layoffs, factory closures, not to mention extensive waste of production capacity."
0	2538111	2538021	"I would also like to underline the work done by the rapporteur, Mr Rapkay, who dissected this dense and comprehensive text in such a concise manner."	"I would also like to highlight the work carried out by the rapporteur, Mr Rapkay, who has dissected this dense and comprehensive text in such a concise way."
0	1341941	1341915	"Whether it is the balance of the biosphere, culture or cooperation with the Third World, excessive competition is a factor in increasing regression and insecurity."	"Whether it is a matter of the balance of the biosphere, culture or cooperation with the third world, excessive competition is a factor increasing regression and insecurity."
1	374967	375017	"However, it is important to stress the need for these funds to prioritize the development of the most difficult countries and regions and the outermost regions, such as the Azores and Madeira regions of Portugal, in order to achieve cohesion. Economic and Social. "	"However, it is important to stress the need for these funds to prioritize the development of the most difficult countries and regions and the outermost regions, such as the Azores and Madeira regions of Portugal, with a view to achieving cohesion. economic and social."
1	2321401	2321455	Its implementation would certainly involve an extension of redistributive instruments such as the Structural Funds.	Its implementation would certainly involve an extension of redistributive instruments like the Structural Funds.
1	1356545	1356676	"But this situation is not cyclical, it is structural. It's our isolation, our insularity, in short, our own personality that creates it.   "	"But this situation is not cyclical, it is structural. It is our remoteness, our insularity, in short, our own personality that creates it."
0	2198036	2198094	Article 280 of the Treaty allows the Council to identify the appropriate instruments to combat fraud.	Article 280 of the Treaty allows the Council to pinpoint the appropriate instruments to curb fraud.
0	921159	921272	This type of sectoral analysis is rather the practice and competence of the Directorate-General for Fisheries under the responsibility of Commissioner Fischler.	"This type of sectoral analysis pertains rather to the practice and competence of the Directorate General for Fisheries, under Commissioner Fischler."
1	740726	739960	We are all aware     and     this Parliament is the first to be bothered by the need    of    	We are all aware and this Parliament is the first to be bothered by the need to
1	284798	284937	"What we can not do, Commissioner,     and     I would like to end here, it is to lend the flank, give arms to those who present the European institutions as a matter of big, powerful, rich, not citizens, small and medium-sized enterprises would be subjected, in the worst cases that will never happen because the measures will be sufficient to avoid this situation , the courts making judgments dissimilar, very late and no real possibility to control the situation, except by doing what the French call ""the course of the combatant"" , ie in the meantime how long the Luxembourg court, which, as we know, is currently saturated, makes its judgment.               "	"What we can not do, Commissioner, and I would like to end here is to lend the flank, to provide arms to those who present the European institutions as a matter for the big, the powerful, the rich, and not for the citizens, the small and medium-sized enterprises, which would be subjected, in the worst case that will never happen because the measures will be sufficient to avoid this situation , courts making dissimilar judgments, very late and without any real possibility of control of the situation except by doing what the French call ""the course of the combatant"", namely in the meantime how many do not years that the Luxembourg Court, which, as we know, is currently saturated, renders its judgment."
1	1041293	1041421	It follows from the continental legal tradition that the anticompetitive nature of certain agreements depends more on the analysis of their clauses than on the effects they produce on the market.	It follows from the continental legal tradition that the anti-competitive nature of certain agreements depends more on the analysis of their clauses than on the effects they produce on the market.
1	2630545	2630577	"Since the Structural Funds and the Cohesion Fund are the main instruments available to the Commission to combat regional disparities, it is essential that the European Parliament participate in drawing up their general indicative guidelines without calling into question the principle of subsidiarity. know the definition of the policy of each country. development strategy for the respective Member States."	"As the Structural Funds and the Cohesion Fund are the main instruments available to the Commission to resolve regional disparities, it is essential that the European Parliament take part in drawing up their general indicative guidelines without calling into question the principle of subsidiarity, definition of each country's development strategy for the respective Member States."
1	1014977	1014962	"The existence of confusing rules, normative voids or rules devoting only indeterminate legal concepts is probably more shocking in this part of the regulation than in others."	"The existence of confusing rules, normative voids, or rules that consecrate only indeterminate legal concepts is probably more shocking in this part of the regulation than in others."
0	2674986	2674800	This has negated the results of regional policy.	This has chipped away at the results that regional policy has produced.
1	2193346	2193362	"We could then in principle respond positively even to the Commission's request to set up a Structural Promotion Management Center in the Member States to coordinate the application and management of structural interventions on site, provided that this center does not become a supranational centralizing instrument and ensure that these regions receive effective attention, which - I repeat again - due to a series of converging negative factors, has not yet used the Funds. structural, so that the replacement of the geographical objective by sectoral policies negative intervention in fact."	"We could then in principle respond even positively to the Commission's request to set up a management center for structural promotion in the Member States to coordinate the application and management of on-site structural interventions, provided that this center does not become a supranational centralizing instrument and ensure that effective attention is given to these regions, which - I reiterate once again - because of a series of converging negative factors, have not yet reached the use of the Structural Funds, so that replacing the geographical objective with sectoral policies could lead to a negative intervention in fact."
0	149798	149596	"Unfortunately, the new guidelines seem to be moving in the same direction and there is no indication that things will change once they have been implemented."	"Unfortunately, the new guidelines seem to be heading in the same direction and there are no signs that things will change once they have been implemented."
0	213302	213135	"Mr President, I too would like to thank the rapporteur."	"Mr President, I too would like to thank the rapporteur."
1	1963350	1963106	"Mr. Chairman, our committee deals with these issues from different angles, and I will begin by talking about the research angle."	"Mr. Chairman, our committee deals with these issues from a number of different angles, and to begin with I will talk about the angle of research."
1	3035675	3035707	You told us that the RINA was an Italian classification register recognized by the Commission.	You told us that the RINA was an Italian classification register recognized by the Commission.
0	622300	622384	"According to the Commission proposal, a temperature of -20 ° C would have been sufficient. On the shores of the Mediterranean, it is hard to imagine that temperatures in Lapland can drop significantly. "	"According to the Commission' s proposal -20ºC would have been sufficient. On the shores of the Mediterranean, it is hard to imagine that in Lapland temperatures can fall considerably lower than that."
1	962311	962987	"Mr President, I too would like to thank the rapporteur."	"Mr President, I too would like to thank the rapporteur."
0	2506257	2506206	"These include, for example, measures for vocational training, continuing training, reintegration of persons already excluded from the production process, flexibility of working time and the organization of working time, in order to integrate the personal and and perhaps also to promote employment opportunities for women."	"For example, these would be measures for vocational training, for further education, for re-integrating people who have already been excluded from the production process, for the flexibilisation of working time and working time arrangements, in order to bring about a definite improvement in the integration of personal and social aspects and perhaps also to promote employment opportunities for women again."
0	221038	221083	"When, in the future, important debates are scheduled between this House and the European Commission, we should clarify all our lines regarding our mutual expectations at least one full month's work in advance."	"When there are major set-piece debates scheduled between this House and the European Commission in the future, we should clear all of our lines on what are our mutual expectations at least one full working month in advance."
0	1097577	1097664	Is it just a political gesture?	Is this simply a political gesture?
1	218017	218035	"Madam Speaker, how is it that Parliament is not complying with the health and safety regulations it has passed?"	"Madam Speaker, how is it that Parliament does not comply with the health and safety regulations it votes?"
0	2277501	2277502	All of this is in keeping with the principles we have always defended.	This is all in accordance with the principles that we have always upheld.
0	423245	423228	"The next item is the debate on the report (A5-0107 / 1999) by Mr Berend, on behalf of the Committee on Regional Policy, Transport and Tourism, on the sixth periodical report on the socio-economic situation and the development of the regions of the European Union [SEC (99) 0066 - C5-0120 / 99 - 1999/2123 (COS)]."	"The next item is the debate on the report (A5-0107/1999) by Mr Berend, on behalf of the Committee on Regional Policy, Transport and Tourism, on the sixth periodic report on the social and economic situation and development of the regions of the European Union [SEC(99)0066 - C5-0120/99 - 1999/2123(COS)]."
0	1336931	1336883	"Is it not true that in the case of roll-call votes, the vote should initially be by show of hands and only then, in case of doubt, should we use the electronic voting system?"	"Is it not the case that on votes other than roll-call votes, the vote should take place initially by show of hands and only then, if there is some doubt, should we utilise the electronic voting system?"
1	2208366	2208492	"It transcends competition, it transcends the cohesion of the internal market, I think it profoundly affects the meaning of European integration, the sense of the legitimacy of European integration."	"It transcends competition, it transcends the cohesion of the internal market, I believe it deeply affects the meaning of European integration, the sense of the legitimacy of European integration."
0	2405153	2405189	"I would like to stress that this will be extremely important for our future, for the European economy and, above all, for the protection of our wealth and the technological development in Europe in general."	"I would emphasise that this is going to be extremely important for our future, for Europe' s economy, and, above all, for the protection of our wealth and technological development in Europe in general."
1	3334905	3334946	"Since my group believes that a Parliament is here to listen, debate and reflect, we believe that there is no reason to justify this adjournment and that if the Commission is able to present it, we have ample opportunity to time to restore it.the initial agreement between Parliament and the Commission and to act responsibly towards our fellow citizens."	"Since my group believes that a Parliament is here to listen, to debate and to reflect, we believe that there is no reason to justify this adjournment and we believe that if the Commission is in a position to present it, we have plenty of time to reinstate it. original agreement between Parliament and the Commission and to act responsibly towards our fellow citizens."
1	1641162	1641062	We all welcome the publication of the court in this forum and have made it clear that access to environmental information in Russia is also a constitutional right.	We all welcome in this forum the release of the court and made it clear that access to environmental information in Russia is also a constitutional right.
1	244062	243899	"However, they only touch on one important issue: the possibility of measuring progress against verifiable objectives in total harmony with the Community's political strategies and not taking into account the implications of enlargement, to more strong reason if they do not contain specific provisions or clarifications in this regard. neither for regional and national authorities nor for candidate countries.       "	"They only touch on one important issue, however: the possibility of measuring progress against verifiable objectives in full harmony with Community policy strategies, and failing to properly address the implications of enlargement, all the more so they do not containspecific provisions or clarifications in this respect, neither for the regional and national authorities nor for the candidate countries."
0	2070455	2070493	My last comment was addressed less to the Commission than to the members of the Group of the European People's Party.	My last comment was intended not so much for the Commission as for the Members of the Group of the European People' s Party.
1	1996069	1996101	But what must happen in fact?	But what must happen in fact?
1	23807	23792	My question is about a topic on Thursday's agenda and I will raise it again.	My question is about a topic that is on Thursday's agenda and I will raise it again.
0	1211287	1210972	I am pleased to see the quality of the seventh state aid report in the EU and see that it will now be an annual report and that the Directorate-General for Competition will publish general and specific. accessible via its website.	"I am pleased to see the quality of the seventh report on state aid within the EU, and to see that it will henceforth be an annual report, and also that the Directorate-General for Competition will be making information, both general and specific, publicly accessible via its website."
0	2512758	2512692	"Well, we are coming to the end of the zoning phase."	"Well, we are coming to an end of the zoning phase."
0	3183829	3183863	"At the same time, unemployment is skyrocketing as a result of the loss of hundreds of thousands of jobs."	"At the same time, unemployment is spiralling as a result of the loss of hundreds of thousands of jobs."
0	3257588	3257537	"I will give you an example: the European Union was right to support the Grönitz steel plant in Brandenburg, although only 700 jobs out of 5,000 remain."	"I will give you an example: the European Union was right to support the Grönitz steelworks in Brandenburg, although out of 5 000 jobs only 700 remained."
0	1321343	1321577	Society abandons itself to the economy.	Society is surrendering itself to the economy.
1	2560856	2560808	"The second challenge is enlargement, which will naturally have considerable consequences, both budgetary and geographical."	"The second challenge is enlargement, which will naturally have considerable consequences both in budgetary and geographical terms."
1	2728434	2728420	The debate is closed.	The debate is closed.
0	3277643	3277659	"There is state aid to companies - we have already discussed this, the public presence in the economy remains strong - it is estimated that the Italian Treasury controls 15% of the market capitalization; governments and central banks stand in the way of mergers and acquisitions; and there has been much talk in recent weeks about Vodafone's bid for Mannesmann and Holzmann's rescue.   "	"There is State aid for businesses - we have already discussed this, there is still a strong public presence in the economy - it is estimated that the Italian Treasury controls 15% of stock exchange capitalisation; governments and central banks place obstacles in the way of mergers and acquisitions; and there has been much talk in recent weeks about Vodafone' s bid for Mannesmann and the bailout of Holzmann."
1	2621134	2621174	"In practice, the experiments - only 9 cases were refused - 94% of the cases to be dealt with by the Commission were not formally settled, but by unpublished administrative letters, legally non-binding or simply by the expiry of the deadline time. that in the era of globalization and enlargement of the EU, the work of the Commission is limited by time, personal and financial constraints."	"In practice, the experiments - only 9 cases were refused, 94% of the cases that had to be treated by the Commission were not formally settled but via unpublished administrative letters, legally non-binding, or simply by expiry of the deadline-show clearly that in the age of globalization and enlargement of the EU, the Commission's work is limited by time, personal and financial constraints."
1	2529661	2529575	"Thank you very much, Mrs Schreyer."	"Thank you very much, Mrs Schreyer."
1	953744	953727	"The report of the Committee on Economic and Monetary Affairs being insufficient from this point of view, I abstained."	"The report of the Committee on Economic and Monetary Affairs being insufficient from this point of view, I abstained."
1	1268733	1268445	The wise men's committee is also.	The committee of wise men is also.
1	304482	304430	We therefore welcome the fact that increased resources have been allocated to OLAF to deal effectively with all suspicions.	We therefore welcome the fact that increased resources have been allocated to OLAF in order to deal effectively with all suspicions.
0	472952	472535	The areas mentioned are still to be tightened and there is reason to continue to work resolutely to resolve the problems of lack of transparency and openness in the field of State aid.	"There is still a need to tighten up in the areas mentioned, and there is therefore good reason for continuing to work resolutely towards solving the problems concerning the lack of transparency and openness in the area of state aid."
0	3119349	3119343	"The solution, in my opinion, is to clearly encourage entrepreneurship."	"The solution, as I see it, lies in clearly encouraging entrepreneurship."
0	224868	225233	"Mr President, Commissioner, my time is limited, I will get right to the point."	"Mr President, Commissioner, as my time is limited, I shall get straight to the point."
1	2678208	2678191	Yet the reality is that there are still only four states that have ratified the Convention signed in 1995.	Yet the reality is that there are still only four states that have ratified the Convention signed in 1995.
0	1177915	1178039	"I would like to ask whether the Commission is able to shed light on the reasons for the delay in the Commission's report on the outermost regions, long awaited by Parliament."	"I would like to ask if the Commission is able to enlighten us on the reasons for the delay in the Commission' s report on the outermost regions, which has been long awaited by Parliament?"
1	129193	129302	"I would like to remind him that the European Union has approved the new regional aid guidelines for the period after the year 2000, which are simply an extension of the political objectives to supplement the European internal market."	"I would like to remind him that the European Union has approved the new regional aid guidelines for the period following the year 2000, which is nothing more than a mere extension of the political objectives to complete the internal market within from Europe."
1	2843951	2843930	An effective competition policy is certainly a prerequisite for the proper functioning of the internal market and economic and monetary union.	Certainly an effective competition policy is a prerequisite for the proper functioning of the internal market and economic and monetary union.
0	1849508	1849367	I hope this will be considered in a positive light.	"It will, I hope, be examined in a positive light."
1	2624848	2624568	"Thirdly, with this Directive as it appears in the Common Position and, in particular, as it is limited exclusively to minimum standards, we guarantee a high degree of flexibility and low regulation.     of the European Union and we assume a great deal of responsibility on the part of the Member States."	"Thirdly, with this Directive, as it stands in the Common Position and, in particular, considering that it is limited exclusively to minimum standards, we guarantee a high degree of flexibility and low regulation from the European Union and we contribute to a great deal of responsibility on the part of the Member States."
1	2293340	2293455	"Report (A5-0107 / 1999) by Mr Berend, on behalf of the Committee on Regional Policy, Transport and Tourism, on the sixth periodic report on the situation and economic and social development of the regions of the European Union (SEC (1999) 0066 - C5-0120 / 1999 - 1999/2123 (COS))"	"Report (A5-0107 / 1999) by Mr Berend, on behalf of the Committee on Regional Policy, Transport and Tourism, on the sixth periodic report on the situation and economic and social development of the regions of the European Union (SEC (1999) 0066 - C5-0120 / 1999 - 1999/2123 (COS))"
1	2750203	2750153	"In this respect, I believe that only a Council Regulation can provide the necessary legal certainty and guarantee the formal prohibition of any aid not covered by the Code."	"On this point, I am of the opinion that only a Council regulation can provide the necessary legal certainty and guarantee the formal prohibition of all aid which is not covered by the Code."
1	1946553	1946598	(Parliament rejected the request) President.	(Parliament rejected the request) The President.
1	2216702	2216672	(The sitting was closed at 20.25)	(The sitting was closed at 20.25)
1	742090	742015	"I believe that in the coming years, in the face of the challenge of globalization and enlargement to the East, Europe will need more than ever adequate and precise guidance on the programming and revitalization of Europe . its economy. "	"I believe that over the next few years, faced with the challenge of globalization and enlargement to the East, Europe will need more than ever adequate and precise guidance on the programming and revitalization of Europe. its economy."
0	1795859	1795818	Seven amendments were taken up for this plenary session.	Seven amendments have been retabled for this plenary sitting.
0	2592956	2592914	I think that it is a better solution than to proceed now to extremely tedious voting explanations.	I think this is a better solution than proceeding now to extremely time-consuming explanations of votes.
1	2845442	2845257	"That being said, I remain concerned about decentralization as proposed."	"That being said, I remain concerned about decentralization as it is proposed to achieve."
1	2305958	2306072	I think it is a better formula than proceeding now with explanations of vote that would take us very far.	I think it is a better formula than to proceed now with explanations of vote that would take us very far.
0	2156094	2155607	"Needless to say, this is not what the European Union's competition policy is designed to achieve."	It goes without saying that that is not what the European Union' s competition policy is designed to achieve.
0	758342	758501	"One thing is clear: even if we achieve an excellent arrangement within the European Union, the traffic does not stop at our borders, it exceeds them."	"For one thing is clear: even if we come to an excellent arrangement within the European Union, traffic does not stop at our borders, it goes beyond them."
0	869467	869240	"They are still in training, so to speak."	"They are still in training, as it were."
0	1465425	1464865	C'est le but de ces directives.	This is the purpose of these guidelines.
1	223008	222987	"Mr President, Commissioner Monti, I believe that the updating of competition legislation must be a duty for the European Union, not only in the light of and following the changes that have occurred in recent years, but also in view of the enlargement of the region. Union."	"Mr President, Commissioner Monti, I believe that the updating of competition legislation must be a duty for the European Union, not only in the light of and following the changes that have taken place in recent years, but also in anticipation of the enlargement of the Union."
1	1168132	1167672	"This will lead to a progressive development of the European culture of competition - I would like to emphasize this fact because the expression used by President Randzio-Plath, which I fully share, struck me a lot."	"It will lead to a progressive development of the European culture of competition - I would like to emphasize this fact because the expression used by President Randzio-Plath, which I fully share, struck me a lot."
1	1634651	1634798	"The broader objectives of the Structural Funds, such as job creation, greater equality of opportunity or greater sustainability of employment and development, are mentioned only marginally.   ."	"The broader objectives of the Structural Funds, such as, for example, job creation, greater equality of opportunity, or increased sustainability of employment and development, are only marginally evoked. ."
0	2189818	2189911	La conclusion négative est que le grand effort déployé a été plus efficace pour harmoniser le PIB et la productivité des régions européennes que pour harmoniser ses niveaux de chômage.	The negative conclusion is that the great effort made has been more efficient in harmonising the European regions' GDP and productivity than in harmonising its levels of unemployment.
0	995311	995560	Competition between the regions will certainly strengthen rather than weaken the European Union.	Competition between the regions will certainly strengthen rather than weaken the European Union.
1	554534	554959	It is the public monopolies that resist most often.	It is the public monopolies that resist most often.
1	14874	14831	"I voted ""for""."	"I voted ""for""."
0	317570	317290	This is because we think it is possible to create employment in the poorest and least-developed regions of Europe.	This is because we think that they are particularly able to create employment in the poorest and least-developed regions and we would thus contribute to reversing the harmful trends towards inequality that exist in European society and to the move towards a fairer Europe.
0	84518	84541	"The sinking of the Erika is a truly European problem, first of all because it disfigures and pollutes some of the most beautiful beaches in Europe, with extremely serious consequences for tourism, the inhabitants of the sea and the environmentalists, and because the fundamental stake is the regulation and the surveillance which must naturally be on a European scale."	"The Erika shipwreck is a truly European issue, firstly because it is disfiguring and polluting some of the most beautiful beaches in Europe, with extremely serious consequences for tourism, people who earn their living from the sea and environmentalists, and also because the underlying issue is the regulation and monitoring which ought naturally to be on a European scale."
1	706709	706766	"Mr President, Commissioner, we simply have to answer two questions."	"Mr President, Commissioner, we have to answer two questions simply."
0	2086071	2086118	"First of all, I agree on the need to ensure a level playing field for aid to all Member States and, secondly, on the need for transparency with regard to such aid."	"Firstly, I agree on the need to guarantee equal conditions for aid to all Member States and, secondly, on the need for transparency with regard to this aid."
1	2521336	2521360	"At a time when we are looking at the whole reform process, it is essential that we send the right signal."	"At a time when we are looking at the whole reform process, it is essential that we send the right signal."
1	3264615	3264641	"And to reach these goals more quickly and effectively, we believe that it is necessary to participate in this initiative by job creators, real entrepreneurs and those who really guarantee new sources of employment, namely the bosses. "	"And to achieve a faster and more effective momentum in meeting these objectives, we believe that it is necessary to participate in this initiative by job creators, real entrepreneurs and those who really guarantee new sources of employment, namely the bosses."
0	262374	262921	We respect what Parliament decides.	We therefore respect whatever Parliament may decide.
0	2939925	2939981	"In addition, the von Wogau report, on which the European Parliament has just voted, supports it."	"Moreover, the von Wogau report, which the European Parliament has just voted on, supports it in so doing."
0	2810464	2810247	"I know the Commission is opposed to that, but the potential exists."	"I know that the Commission is set against this, but the potential exists."
1	2031076	2031038	"They need the political dimension to work, there must be responsibilities, communication must be established with the citizens."	"They need the political dimension to work, there must be responsibilities, communication must be established with citizens."
0	27639	27668	The Commission's proposals refer to the four pillars of the Employment Strategy and the five areas of action of the European Social Fund.	The Commission proposals refer to the four pillars of employment strategy and the five fields of action of the European Social Fund.
0	143800	143664	"On behalf of all the officials of the Commission and of my predecessor, Mrs Wulf-Mathies, I must inform you that we were very attentive to the assessment made by this House and by you."	"On behalf of all the officials of the Commission and my predecessor, Mrs Wulf-Mathies, I must inform you that we were very alert to the evaluation made by this House and by yourself."
1	1909408	1909429	It is also the only chance to develop economic circuits in underdeveloped regions that lead to the social protection of citizens and the strengthening of purchasing power.	It is also the only chance to develop economic circuits in underdeveloped regions that lead to the social protection of citizens and the strengthening of purchasing power.
0	3034583	3034604	Is there a member who wishes to speak on behalf of this group to propose this?	Is there a member who wishes to speak on behalf of this Group to propose this?
1	1257820	1257777	We must therefore study how to further adapt the requirements to ensure maximum security.	We must therefore study how we can further adjust the requirements to ensure maximum safety.
1	2706551	2706185	"What characterizes the current reality are the huge mergers, the mergers and acquisitions of very large monopolistic companies and the creation of terribly powerful groups at the world level."	"What characterizes today's reality are gigantic mergers, mergers and acquisitions of very large, monopolistic businesses, and the creation of frighteningly powerful groups at the global level."
1	2975580	2975607	"I think we should also introduce or ask the Member States to provide information on European aid, when they are mobilized to repair the damage caused by natural disasters or accidents."	"I think that we should also introduce or ask the Member States to provide information on European aid, whenever they are mobilized to repair the damage caused by natural disasters or accidents."
1	813945	813925	"The services concerned did not put them on the agenda, saying that answers had already been provided at a previous session."	"The relevant services did not include them on the agenda, arguing that answers had already been provided in a previous session."
0	2851677	2851855	"Mr President, Commissioner, I too would like to congratulate the rapporteur on her report, which is a thorough and meticulous work."	"Mr President, Commissioner, I too would like to commend the rapporteur on her report, which is a meticulous and substantive piece of work."
1	895812	895754	"However, it has tabled a number of amendments, most of which have been retained in the Council's common position, in particular as regards the need for a questionnaire and statements on the authorization of certain documents in the context of examination proposed by the examining body ""."	"However, it has tabled a number of amendments, most of which have been retained in the Council's common position, in particular as regards the need for a questionnaire and statements on the authorization of certain documents in the context of examination proposed by the Examining Body ""."
0	2534473	2534504	"Mr President, we must express our opinion on this subject in the European Parliament, in plenary and in committee, although it is clear that the debate must take into account the world of culture, legal culture and places. where institutional problems are addressed."	"Mr President, we need to speak our minds on this subject in the European Parliament, during the plenary sittings and in the committees, even if it is obvious that the debate must take into account the world of the culture, the legal culture and the places where institutional issues are addressed."
0	1487731	1487197	"The issue of consistent enforcement: The risk of inconsistent enforcement of competition rules must be borne in mind, but I do not think it should be exaggerated."	"The question of consistent application: the risk of inconsistent application of competition rules must be borne in mind, but I do not believe that it should be exaggerated."
